job_title,salary_count,salary_mean,salary_p25,salary_p75,salary_min,salary_max
Account Manager,1,75000.0,75000.0,75000.0,75000.0,75000.0
Accountant,1,55000.0,55000.0,55000.0,55000.0,55000.0
Administrative Assistant,2,50000.0,47500.0,52500.0,45000.0,55000.0
Back end Developer,244,102352.56,79941.75,132080.5,51832.0,178284.0
Business Analyst,2,77500.0,76250.0,78750.0,75000.0,80000.0
Business Development Manager,1,90000.0,90000.0,90000.0,90000.0,90000.0
Business Intelligence Analyst,1,85000.0,85000.0,85000.0,85000.0,85000.0
CEO,1,210000.0,210000.0,210000.0,210000.0,210000.0
Chief Data Officer,1,210000.0,210000.0,210000.0,210000.0,210000.0
Chief Technology Officer,1,210000.0,210000.0,210000.0,210000.0,210000.0
Content Marketing Manager,73,123150.68,80000.0,160000.0,55000.0,190000.0
Copywriter,1,40000.0,40000.0,40000.0,40000.0,40000.0
Creative Director,1,120000.0,120000.0,120000.0,120000.0,120000.0
Customer Service Manager,2,105000.0,92500.0,117500.0,80000.0,130000.0
Customer Service Rep,1,40000.0,40000.0,40000.0,40000.0,40000.0
Customer Service Representative,6,33333.33,30000.0,33750.0,30000.0,45000.0
Customer Success Manager,1,40000.0,40000.0,40000.0,40000.0,40000.0
Customer Success Rep,1,40000.0,40000.0,40000.0,40000.0,40000.0
Data Analyst,363,125090.91,100000.0,135000.0,65000.0,195000.0
Data Entry Clerk,1,35000.0,35000.0,35000.0,35000.0,35000.0
Data Scientist,453,164975.72,140000.0,185000.0,75000.0,210000.0
Delivery Driver,5,28000.0,28000.0,28000.0,28000.0,28000.0
Developer,1,100000.0,100000.0,100000.0,100000.0,100000.0
Digital Content Producer,1,50000.0,50000.0,50000.0,50000.0,50000.0
Digital Marketing Manager,52,93269.23,53750.0,140000.0,30000.0,150000.0
Digital Marketing Specialist,15,63333.33,60000.0,65000.0,60000.0,65000.0
Director,1,200000.0,200000.0,200000.0,200000.0,200000.0
Director of Business Development,1,170000.0,170000.0,170000.0,170000.0,170000.0
Director of Data Science,57,204210.53,200000.0,210000.0,170000.0,210000.0
Director of Engineering,2,180000.0,180000.0,180000.0,180000.0,180000.0
Director of Finance,2,175000.0,172500.0,177500.0,170000.0,180000.0
Director of HR,69,122028.99,115000.0,135000.0,80000.0,180000.0
Director of Human Capital,1,180000.0,180000.0,180000.0,180000.0,180000.0
Director of Human Resources,2,187500.0,186250.0,188750.0,185000.0,190000.0
Director of Marketing,88,137840.91,105000.0,170000.0,80000.0,200000.0
Director of Operations,11,172727.27,170000.0,180000.0,160000.0,180000.0
Director of Product Management,1,175000.0,175000.0,175000.0,175000.0,175000.0
Director of Sales,1,175000.0,175000.0,175000.0,175000.0,175000.0
Director of Sales and Marketing,1,180000.0,180000.0,180000.0,180000.0,180000.0
Event Coordinator,2,52500.0,48750.0,56250.0,45000.0,60000.0
