age,gender,education_level,job_title,years_of_experience,salary,job_title_norm
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,software engineer
28.0,Female,Master's,Data Analyst,3.0,65000.0,data analyst
45.0,Male,PhD,Senior Manager,15.0,150000.0,senior manager
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,sales associate
52.0,Male,Master's,Director,20.0,200000.0,director
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,marketing analyst
42.0,Female,Master's,Product Manager,12.0,120000.0,product manager
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,sales manager
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,marketing coordinator
38.0,Male,PhD,Senior Scientist,10.0,110000.0,senior scientist
29.0,Male,Master's,Software Developer,3.0,75000.0,software developer
48.0,Female,Bachelor's,HR Manager,18.0,140000.0,hr manager
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,financial analyst
40.0,Female,Master's,Project Manager,14.0,130000.0,project manager
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,customer service rep
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,operations manager
33.0,Female,Master's,Marketing Manager,7.0,90000.0,marketing manager
39.0,Male,PhD,Senior Engineer,12.0,115000.0,senior engineer
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,data entry clerk
51.0,Male,Bachelor's,Sales Director,22.0,180000.0,sales director
34.0,Female,Master's,Business Analyst,5.0,80000.0,business analyst
47.0,Male,Master's,VP of Operations,19.0,190000.0,vp of operations
30.0,Male,Bachelor's,IT Support,2.0,50000.0,it support
36.0,Female,Bachelor's,Recruiter,9.0,60000.0,recruiter
41.0,Male,Master's,Financial Manager,13.0,140000.0,financial manager
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,social media specialist
37.0,Female,Master's,Software Manager,11.0,110000.0,software manager
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,junior developer
43.0,Female,PhD,Senior Consultant,15.0,140000.0,senior consultant
33.0,Male,Master's,Product Designer,6.0,90000.0,product designer
50.0,Male,Bachelor's,CEO,25.0,210000.0,ceo
31.0,Female,Bachelor's,Accountant,4.0,55000.0,accountant
29.0,Male,Master's,Data Scientist,3.0,75000.0,data scientist
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,marketing specialist
46.0,Male,PhD,Senior Manager,20.0,170000.0,senior manager
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,technical writer
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,hr generalist
42.0,Male,Master's,Project Engineer,14.0,115000.0,project engineer
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,customer success rep
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,sales executive
34.0,Female,Master's,UX Designer,5.0,80000.0,ux designer
48.0,Male,Master's,Operations Director,18.0,190000.0,operations director
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,network engineer
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,administrative assistant
41.0,Male,Master's,Strategy Consultant,13.0,130000.0,strategy consultant
28.0,Female,Bachelor's,Copywriter,2.0,40000.0,copywriter
32.0,Male,Bachelor's,Account Manager,5.0,75000.0,account manager
45.0,Female,Master's,Director of Marketing,16.0,180000.0,director of marketing
38.0,Male,PhD,Senior Scientist,11.0,120000.0,senior scientist
25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,help desk analyst
51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,customer service manager
33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,business intelligence analyst
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,event coordinator
47.0,Male,Master's,VP of Finance,19.0,200000.0,vp of finance
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,graphic designer
